filename,width,height,class,xmin,ymin,xmax,ymax
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,653,677,666,719
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,635,521,664,578
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,487,373,498,413
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,473,375,483,413
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,454,380,467,416
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,433,407,450,441
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,497,409,509,438
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,481,410,492,441
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,473,417,487,452
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,467,428,478,464
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,444,441,457,474
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,511,382,544,395
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,510,394,547,410
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,508,398,541,423
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,504,403,525,434
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,492,652,504,692
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,478,650,496,689
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,430,547,463,559
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,434,537,468,551
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,460,525,499,544
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,436,518,467,541
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,421,512,439,540
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,413,502,439,532
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,596,605,619,651
2018-04-15 17_56_28-Lake Victoria.jpg,720,720,canoe,527,556,569,603
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,509,707,531,719
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,494,659,525,679
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,507,696,526,713
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,499,687,523,706
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,492,675,524,697
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,485,652,515,674
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,478,636,511,663
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,470,627,503,653
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,465,614,495,640
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,459,604,488,630
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,449,596,488,617
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,176,318,190,359
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,168,314,187,355
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,158,318,172,355
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,146,313,163,348
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,136,304,154,342
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,127,302,138,342
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,118,296,130,327
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,101,295,119,332
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,91,287,108,321
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,80,287,98,319
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,72,281,89,315
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,60,278,81,310
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,54,267,74,303
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,46,262,63,299
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,37,252,55,289
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,27,251,46,286
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,15,243,40,280
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,65,227,76,266
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,27,194,46,227
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,9,235,30,270
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,443,583,483,606
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,226,357,254,390
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,242,368,266,398
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,527,441,547,474
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,517,433,547,462
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,500,581,538,606
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,407,531,442,559
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,529,448,557,479
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,504,425,539,456
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,318,369,346,400
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,264,383,291,417
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,487,474,517,501
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,465,497,490,526
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,489,492,526,521
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,548,516,580,544
2018-04-15 18_01_37-Lake Victoria.jpg,720,720,canoe,528,460,565,489
2018-04-15 17_57_07-Lake Victoria.jpg,720,720,canoe,194,499,223,535
2018-04-15 17_57_07-Lake Victoria.jpg,720,720,canoe,185,463,206,502
2018-04-15 17_57_07-Lake Victoria.jpg,720,720,canoe,333,363,356,401
2018-04-15 17_57_07-Lake Victoria.jpg,720,720,canoe,424,299,453,344
LV_pilot_5334904.jpg,750,750,canoe,18,325,79,395
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,270,308,284,337
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,106,278,115,320
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,317,307,329,341
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,368,320,380,351
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,356,318,367,356
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,342,317,352,353
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,337,317,347,347
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,419,330,428,353
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,401,326,411,357
2018-04-15 18_05_04-Lake Victoria.jpg,720,720,canoe,383,321,393,347
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,387,440,432,473
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,397,465,427,490
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,384,465,411,489
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,375,465,410,494
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,364,465,392,491
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,375,484,403,512
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,367,531,404,548
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,372,518,409,542
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,367,508,406,533
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,333,492,370,516
2018-04-15 17_53_34-Lake Victoria.jpg,720,720,canoe,287,378,325,408
